field,source_kind,count
co2_mtco2e,direct_2023,203
co2_mtco2e,region_median_imputed,14
co2_mtco2e,manual_override,1
energy_consumption_raw,latest_2022,79
energy_consumption_raw,direct_2023,70
energy_consumption_raw,region_median_imputed,68
energy_consumption_raw,latest_2014,1
energy_imports_net_pct,region_median_imputed,75
energy_imports_net_pct,latest_2022,72
energy_imports_net_pct,direct_2023,67
energy_imports_net_pct,latest_2018,2
energy_imports_net_pct,latest_2021,1
energy_imports_net_pct,latest_2017,1
energy_production_raw,direct_wmd_2023_plus_wb_balance,113
energy_production_raw,derived_wb_energy_balance,105
energy_reserve_raw,derived_wmd_wb_reserve_proxy,218
food_consumption_raw,direct_faostat_fbs_2023,171
food_consumption_raw,region_per_capita_imputed,47
food_production_raw,direct_faostat_fbs_2023,171
food_production_raw,region_per_capita_imputed,47
food_reserve_raw,derived_faostat_buffer,218
fx_reserves_usd,direct_2023,166
fx_reserves_usd,region_median_imputed,40
fx_reserves_usd,latest_2020,2
fx_reserves_usd,latest_2021,2
fx_reserves_usd,latest_2022,2
fx_reserves_usd,latest_2017,2
fx_reserves_usd,latest_2018,2
fx_reserves_usd,latest_2019,1
fx_reserves_usd,manual_override,1
gdp_usd_current,direct_2023,203
gdp_usd_current,latest_2022,6
gdp_usd_current,region_median_imputed,4
gdp_usd_current,latest_2020,1
gdp_usd_current,latest_2021,1
gdp_usd_current,latest_2015,1
gdp_usd_current,latest_2018,1
gdp_usd_current,manual_override,1
idv,region_median_imputed,179
idv,direct_hofstede,39
ind,region_median_imputed,166
ind,direct_hofstede,52
inequality_gini,region_median_imputed,64
inequality_gini,direct_2023,53
inequality_gini,latest_2021,24
inequality_gini,latest_2022,23
inequality_gini,latest_2019,12
inequality_gini,latest_2018,10
inequality_gini,latest_2020,9
inequality_gini,latest_2017,8
inequality_gini,latest_2014,6
inequality_gini,latest_2016,5
inequality_gini,latest_2015,4
lto,region_median_imputed,167
lto,direct_hofstede,51
mas,region_median_imputed,179
mas,direct_hofstede,39
metals_consumption_raw,derived_wb_manufacturing_demand,218
metals_production_raw,direct_wmd_2023,125
metals_production_raw,zero_imputed_no_wmd_production,93
metals_reserve_raw,derived_wmd_wb_reserve_proxy,218
military_gdp_ratio,direct_2023,150
military_gdp_ratio,region_median_imputed,60
military_gdp_ratio,latest_2018,3
military_gdp_ratio,latest_2021,2
military_gdp_ratio,latest_2014,2
military_gdp_ratio,latest_2022,1
military_spending_usd,direct_2023,153
military_spending_usd,region_median_imputed,56
military_spending_usd,latest_2018,4
military_spending_usd,latest_2021,2
military_spending_usd,latest_2014,2
military_spending_usd,latest_2022,1
pdi,region_median_imputed,179
pdi,direct_hofstede,39
population,direct_2023,217
population,manual_override,1
public_debt_pct_gdp,region_median_imputed,150
public_debt_pct_gdp,direct_2023,34
public_debt_pct_gdp,latest_2020,8
public_debt_pct_gdp,latest_2021,6
public_debt_pct_gdp,latest_2022,6
public_debt_pct_gdp,latest_2019,5
public_debt_pct_gdp,latest_2014,3
public_debt_pct_gdp,latest_2018,2
public_debt_pct_gdp,latest_2015,2
public_debt_pct_gdp,latest_2016,1
public_debt_pct_gdp,manual_override,1
uai,region_median_imputed,179
uai,direct_hofstede,39
water_stress_pct,latest_2022,176
water_stress_pct,region_median_imputed,40
water_stress_pct,latest_2021,2
